"","x"
"1","musicId"
"2","Arousal.mean."
"3","Valence.mean."
"4","audspec_lengthL1norm_sma_range"
"5","audspec_lengthL1norm_sma_maxPos"
"6","audspec_lengthL1norm_sma_minPos"
"7","audspec_lengthL1norm_sma_quartile1"
"8","audspec_lengthL1norm_sma_quartile2"
"9","audspec_lengthL1norm_sma_quartile3"
"10","audspec_lengthL1norm_sma_iqr1.2"
"11","audspec_lengthL1norm_sma_iqr2.3"
"12","audspec_lengthL1norm_sma_iqr1.3"
"13","audspec_lengthL1norm_sma_percentile1.0"
"14","audspec_lengthL1norm_sma_percentile99.0"
"15","audspec_lengthL1norm_sma_pctlrange0.1"
"16","audspec_lengthL1norm_sma_stddev"
"17","audspec_lengthL1norm_sma_skewness"
"18","audspec_lengthL1norm_sma_kurtosis"
"19","audspec_lengthL1norm_sma_meanSegLen"
"20","audspec_lengthL1norm_sma_maxSegLen"
"21","audspec_lengthL1norm_sma_minSegLen"
"22","audspec_lengthL1norm_sma_segLenStddev"
"23","audspec_lengthL1norm_sma_upleveltime25"
"24","audspec_lengthL1norm_sma_upleveltime50"
"25","audspec_lengthL1norm_sma_upleveltime75"
"26","audspec_lengthL1norm_sma_upleveltime90"
"27","audspec_lengthL1norm_sma_risetime"
"28","audspec_lengthL1norm_sma_leftctime"
"29","audspec_lengthL1norm_sma_lpgain"
"30","audspec_lengthL1norm_sma_lpc0"
"31","audspec_lengthL1norm_sma_lpc1"
"32","audspec_lengthL1norm_sma_lpc2"
"33","audspec_lengthL1norm_sma_lpc3"
"34","audspec_lengthL1norm_sma_lpc4"
"35","audspecRasta_lengthL1norm_sma_range"
"36","audspecRasta_lengthL1norm_sma_maxPos"
"37","audspecRasta_lengthL1norm_sma_minPos"
"38","audspecRasta_lengthL1norm_sma_quartile1"
"39","audspecRasta_lengthL1norm_sma_quartile2"
"40","audspecRasta_lengthL1norm_sma_quartile3"
"41","audspecRasta_lengthL1norm_sma_iqr1.2"
"42","audspecRasta_lengthL1norm_sma_iqr2.3"
"43","audspecRasta_lengthL1norm_sma_iqr1.3"
"44","audspecRasta_lengthL1norm_sma_percentile1.0"
"45","audspecRasta_lengthL1norm_sma_percentile99.0"
"46","audspecRasta_lengthL1norm_sma_pctlrange0.1"
"47","audspecRasta_lengthL1norm_sma_stddev"
"48","audspecRasta_lengthL1norm_sma_skewness"
"49","audspecRasta_lengthL1norm_sma_kurtosis"
"50","audspecRasta_lengthL1norm_sma_meanSegLen"
"51","audspecRasta_lengthL1norm_sma_maxSegLen"
"52","audspecRasta_lengthL1norm_sma_minSegLen"
"53","audspecRasta_lengthL1norm_sma_segLenStddev"
"54","audspecRasta_lengthL1norm_sma_upleveltime25"
"55","audspecRasta_lengthL1norm_sma_upleveltime50"
"56","audspecRasta_lengthL1norm_sma_upleveltime75"
"57","audspecRasta_lengthL1norm_sma_upleveltime90"
"58","audspecRasta_lengthL1norm_sma_risetime"
